timestamp,open,high,low,close,volume
11/14/18,108.1,108.26,104.47,104.97,39451205
11/13/18,107.55,108.74,106.64,106.94,35374583
11/12/18,109.42,109.96,106.1,106.87,33621807
11/11/18,110.135,110.705,107.43,108.22,0
11/10/18,110.135,110.705,107.43,108.22,0
11/9/18,110.85,111.45,108.76,109.57,32039223
11/8/18,111.8,112.21,110.91,111.75,25644105
11/7/18,109.44,112.24,109.4,111.96,37901704
11/6/18,107.38,108.84,106.28,107.72,24340248
11/5/18,106.37,107.74,105.9,107.51,27922144
11/4/18,106.37,107.74,105.9,107.51,27922144
