date,Topic0,Topic1,Topic0.1,Topic1.1,Topic2,Topic3,Topic4,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation,Angry,Happy,Satisfaction,Stress,close,open
5/15/2018,0.143475562,0.856524443,0.255650483,0.414681666,0.044501746,0.199060237,0.087801853,0.012011338,0.006868921,0.061210778,0.369883095,0.058906948,0.257877627,0.180696193,0.052545093,0.130098507,0.98288731,0.81432683,0.075222764,96.8,96.64
5/16/2018,0.141017483,0.858982521,0.313163719,0.365895444,0.057219075,0.20591406,0.06709087,0.013305666,0.011283845,0.064587405,0.387071318,0.060879987,0.258305758,0.163468096,0.04109793,0.133420188,0.972776707,0.775476024,0.057554399,97.19,97.55
5/17/2018,0.115485722,0.88451428,0.299228431,0.464799259,0.042780244,0.14553944,0.047652628,0.010556238,0.006700821,0.05571255,0.414861207,0.049872196,0.241370539,0.1814015,0.03952495,0.128952347,0.992488463,0.833551672,0.040995009,97.92,98.31
5/18/2018,0.114439993,0.885560006,0.269691558,0.483127059,0.050788109,0.106034724,0.090358549,0.011254434,0.011417711,0.065609642,0.343104816,0.052431767,0.231630332,0.235403559,0.049147719,0.140003025,0.986802848,0.80524803,0.048969259,97.51,98.2875
5/19/2018,0.249277403,0.750722594,0.2171886,0.275718789,0.059384193,0.186904339,0.260804084,0.009282079,0.004284641,0.035110123,0.461268573,0.034010321,0.184128132,0.235424715,0.036491407,0.190644505,0.999579009,0.868781917,1.00E-05,98.01,98.265
5/20/2018,0.126469456,0.873530546,0.382155504,0.372796809,0.04624477,0.138701027,0.060101887,0.01015766,0.00251928,0.037231663,0.453459445,0.046545488,0.253736199,0.156854295,0.039495936,0.14699474,0.999999,0.854312686,0.01589853,98.51,98.22
5/21/2018,0.137348657,0.862651348,0.2912571,0.447011835,0.047682937,0.146075188,0.06797294,0.012759874,0.008209654,0.042910122,0.373098158,0.055287779,0.277166912,0.179465919,0.051101575,0.165578092,0.954287527,0.854183104,0.062348957,99.51,99.78
5/22/2018,0.120917338,0.879082671,0.256477332,0.560734631,0.027239602,0.093306078,0.062242368,0.009576962,0.00503554,0.044347766,0.410351683,0.034424081,0.276193882,0.181995589,0.038074479,0.179006513,0.999999,0.819936933,0.006945706,99.93,99.93
5/23/2018,0.157109632,0.842890373,0.378720163,0.36832623,0.046414169,0.106500488,0.100038958,0.010864533,0.01192803,0.076461481,0.367198691,0.0477223,0.240560344,0.200576801,0.044687811,0.186412425,0.978921099,0.785838832,0.057851925,100.45,100.31
5/24/2018,0.117654648,0.882345354,0.336630513,0.395639611,0.033335984,0.191162575,0.052300063,0.01122221,0.004519831,0.062031293,0.386492596,0.055350107,0.217489601,0.202399095,0.060495251,0.122649592,0.971508002,0.871585506,0.082406672,100.18,100.18
5/25/2018,0.172210835,0.827789166,0.46674492,0.286880734,0.054490643,0.138501757,0.06054663,0.043700499,0.023737394,0.04308738,0.429988984,0.067061485,0.169819612,0.17888311,0.043721539,0.293739292,0.864905875,0.708929441,0.210920827,100.31,100.09
5/26/2018,0.186757661,0.813242347,0.451157155,0.26156743,0.061259399,0.146860098,0.079155921,0.037668558,0.020344214,0.052649213,0.355518669,0.064819141,0.227920863,0.18507567,0.056003672,0.286320627,0.892310502,0.697415672,0.168240287,100.705,100.135
